'modify your' | In regular: 0 | In spam: 5 | logProbRegular: -10.804935 | logProbSpam: -7.250777
'lis seigs\n' | In regular: 0 | In spam: 5 | logProbRegular: -10.804935 | logProbSpam: -7.250777
'help you' | In regular: 0 | In spam: 5 | logProbRegular: -10.804935 | logProbSpam: -7.250777
'his reur' | In regular: 0 | In spam: 5 | logProbRegular: -10.804935 | logProbSpam: -7.250777
'fucio his' | In regular: 0 | In spam: 5 | logProbRegular: -10.804935 | logProbSpam: -7.250777
'ob his' | In regular: 0 | In spam: 5 | logProbRegular: -10.804935 | logProbSpam: -7.250777
'he is' | In regular: 0 | In spam: 5 | logProbRegular: -10.804935 | logProbSpam: -7.250777
'his else' | In regular: 0 | In spam: 5 | logProbRegular: -10.804935 | logProbSpam: -7.250777
'no lieups' | In regular: 0 | In spam: 5 | logProbRegular: -10.804935 | logProbSpam: -7.250777
'deal wih\n' | In regular: 0 | In spam: 5 | logProbRegular: -10.804935 | logProbSpam: -7.250777
'he fucio' | In regular: 0 | In spam: 5 | logProbRegular: -10.804935 | logProbSpam: -7.250777
'prier ik' | In regular: 0 | In spam: 5 | logProbRegular: -10.804935 | logProbSpam: -7.250777
'cyper media' | In regular: 0 | In spam: 5 | logProbRegular: -10.804935 | logProbSpam: -7.250777
'is ha' | In regular: 0 | In spam: 5 | logProbRegular: -10.804935 | logProbSpam: -7.250777
'he way' | In regular: 0 | In spam: 5 | logProbRegular: -10.804935 | logProbSpam: -7.250777
'are some' | In regular: 2 | In spam: 2 | logProbRegular: -8.260105 | logProbSpam: -8.167068
'hope ha' | In regular: 4 | In spam: 0 | logProbRegular: -7.566958 | logProbSpam: -10.804935
'mo dec' | In regular: 4 | In spam: 0 | logProbRegular: -7.566958 | logProbSpam: -10.804935
'bulacuairugl mo' | In regular: 4 | In spam: 0 | logProbRegular: -7.566958 | logProbSpam: -10.804935
'dhkoopmans dhkoopmasmedrugl\n' | In regular: 4 | In spam: 0 | logProbRegular: -7.566958 | logProbSpam: -10.804935
'of medical' | In regular: 4 | In spam: 0 | logProbRegular: -7.566958 | logProbSpam: -10.804935
'medical scieces' | In regular: 4 | In spam: 0 | logProbRegular: -7.566958 | logProbSpam: -10.804935
'coeype eplai\n' | In regular: 4 | In spam: 0 | logProbRegular: -7.566958 | logProbSpam: -10.804935
'prioriy ormal\n' | In regular: 4 | In spam: 0 | logProbRegular: -7.566958 | logProbSpam: -10.804935
'you for' | In regular: 2 | In spam: 2 | logProbRegular: -8.260105 | logProbSpam: -8.167068
'for your' | In regular: 4 | In spam: 0 | logProbRegular: -7.566958 | logProbSpam: -10.804935
'xmailer microsof' | In regular: 2 | In spam: 2 | logProbRegular: -8.260105 | logProbSpam: -8.167068
'microsof oulook' | In regular: 2 | In spam: 2 | logProbRegular: -8.260105 | logProbSpam: -8.167068
'oulook epress' | In regular: 2 | In spam: 2 | logProbRegular: -8.260105 | logProbSpam: -8.167068
'xaimailscaerspamscore ss\n' | In regular: 4 | In spam: 0 | logProbRegular: -7.566958 | logProbSpam: -10.804935
'call for' | In regular: 4 | In spam: 0 | logProbRegular: -7.566958 | logProbSpam: -10.804935
'for he\n' | In regular: 4 | In spam: 0 | logProbRegular: -7.566958 | logProbSpam: -10.804935
'issue is' | In regular: 4 | In spam: 0 | logProbRegular: -7.566958 | logProbSpam: -10.804935
'able of' | In regular: 4 | In spam: 0 | logProbRegular: -7.566958 | logProbSpam: -10.804935
'he brai' | In regular: 4 | In spam: 0 | logProbRegular: -7.566958 | logProbSpam: -10.804935
'of mouse' | In regular: 4 | In spam: 0 | logProbRegular: -7.566958 | logProbSpam: -10.804935
'from lschomakerairugl' | In regular: 4 | In spam: 0 | logProbRegular: -7.566958 | logProbSpam: -10.804935
'reurpah lschomakerairugl\n' | In regular: 4 | In spam: 0 | logProbRegular: -7.566958 | logProbSpam: -10.804935
'from lamber' | In regular: 4 | In spam: 0 | logProbRegular: -7.566958 | logProbSpam: -10.804935
'lamber schomaker' | In regular: 4 | In spam: 0 | logProbRegular: -7.566958 | logProbSpam: -10.804935
